# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.85521787       1248.9530
0.000       31.164599      0.83135820       1274.8030
0.000       31.667254      0.79644025       1281.3113
0.000       32.169909      0.76430039       1289.0917
0.000       33.175218      0.71506675       1322.6904
0.000       34.180528      0.67500472       1365.5681
0.000       35.185838      0.63809056       1408.1738
0.000       36.191147      0.58011318       1393.1249
0.000       37.196457      0.53966303       1407.0115
0.000       38.201767      0.51134198       1444.2157
0.000       39.207076      0.48248298       1473.1455
0.000       40.212386      0.44647656       1470.7825
0.000       41.217696      0.42501372       1507.7326
0.000       42.223005      0.39606409       1510.3693
0.000       43.228315      0.37884502       1550.3750
0.000       44.233625      0.35814626       1570.3204
0.000       45.238934      0.33319222       1562.7957
0.000       46.244244      0.31710529       1588.7179
0.000       47.249554      0.30000991       1603.2417
0.000       48.254863      0.28493436       1621.9533
0.000       49.260173      0.27736360       1679.6064
0.000       50.265482      0.26194546       1685.3523
0.000       51.270792      0.25055756       1710.7551
0.000       52.276102      0.23544331       1703.9867
0.000       53.281411      0.22169602       1698.8511
0.000       54.286721      0.21529633       1744.9690
0.000       55.292031      0.20289699       1737.5347
0.000       56.297340      0.19452182       1758.3374
0.000       57.302650      0.18999318       1811.0581
0.000       58.307960      0.17844193       1792.0524
0.000       59.313269      0.16959570       1792.8364
0.000       60.318579      0.16502284       1834.7109
0.000       61.323889      0.15527720       1814.1242
0.000       62.329198      0.15212838       1866.1869
0.000       63.334508      0.14482714       1863.9808
0.000       64.339818      0.13844923       1868.1007
0.000       66.350437      0.12931386       1913.5802
0.000       68.361056      0.11921123       1929.3620
0.000       70.371675      0.11096520       1959.0735
0.000       72.382295      0.10114873       1943.2457
0.000       74.392914     0.094617293       1973.4925
0.000       76.403533     0.088410685       1997.6314
0.000       78.414153     0.082927694       2025.5978
0.000       80.424772     0.078172204       2060.1182
0.000       82.435391     0.072093994       2046.0227
0.000       84.446011     0.067947196       2072.9041
0.000       86.456630     0.063536672       2080.1259
0.000       88.467249     0.059383144       2082.9604
0.000       90.477868     0.056027845       2102.3318
0.000       92.488488     0.052868359       2118.9911
0.000       94.499107     0.050079101       2140.9666
0.000       96.509726     0.047213190       2150.0416
0.000       98.520346     0.044285084       2145.3863
0.000       100.53096     0.042071619       2165.5042
0.000       102.54158     0.039299922       2146.6538
0.000       104.55220     0.037656058       2180.2419
0.000       106.56282     0.034828745       2135.1345
0.000       108.57344     0.033720809       2186.4475
0.000       110.58406     0.031904044       2185.7153
0.000       112.59468     0.030045132       2172.6912
0.000       114.60530     0.028835455       2198.9288
0.000       116.61592     0.027196024       2184.9887
0.000       118.62654     0.025348506       2143.7207
0.000       120.63716     0.024078546       2141.6269
0.000       122.64778     0.023260824       2174.0743
0.000       124.65840     0.021892577       2148.4821
0.000       126.66902     0.021414672       2204.9201
0.000       128.67964     0.020289548       2190.1411
0.000       132.70087     0.018427093       2181.4659
0.000       136.72211     0.016708899       2163.3878
0.000       140.74335     0.015603315       2203.7930
0.000       144.76459     0.013785593       2118.7647
0.000       148.78583     0.012976543       2165.2796
0.000       152.80707     0.011597890       2096.4261
0.000       156.82831     0.010617287       2074.7088
0.000       160.84954    0.0097834275       2062.6274
0.000       164.87078    0.0091379540       2074.6762
0.000       168.89202    0.0086011165       2099.1936
0.000       172.91326    0.0077185825       2021.5883
0.000       176.93450    0.0070732898       1984.8572
0.000       180.95574    0.0064628302       1940.0373
0.000       184.97698    0.0062354909       1999.3735
0.000       188.99821    0.0056838107       1943.9405
0.000       193.01945    0.0055571940       2024.5526
0.000       197.04069    0.0050045350       1939.5535
0.000       201.06193    0.0047318163       1948.4428
0.000       205.08317    0.0041747979       1824.2980
0.000       209.10441    0.0040571239       1879.2220
0.000       213.12565    0.0037222071       1825.4836
0.000       217.14688    0.0034102963       1768.9811
0.000       221.16812    0.0031701182       1737.4540
0.000       225.18936    0.0030782575       1780.8151
0.000       229.21060    0.0028276790       1725.0610
0.000       233.23184    0.0027177470       1746.7984
0.000       237.25308    0.0024836718       1680.3511
0.000       241.27432    0.0024313745       1730.0370
0.000       245.29555    0.0022590499       1689.1379
0.000       249.31679    0.0019680324       1545.1018
0.000       253.33803    0.0020091016       1654.9060
0.000       257.35927    0.0019867776       1715.6905
0.000       265.40175    0.0016550530       1567.4493
0.000       273.44422    0.0014280934       1479.2212
0.000       281.48670    0.0012350132       1395.4540
0.000       289.52918    0.0012608941       1550.3361
0.000       297.57166    0.0011432535       1526.1157
0.000       305.61413   0.00085135444       1231.1216
0.000       313.65661    0.0010246848       1601.8575
0.000       321.69909   0.00094653954       1596.4617
0.000       329.74156   0.00088511781       1607.6534
0.000       337.78404   0.00076559334       1494.8093
0.000       345.82652   0.00060809270       1274.1335
0.000       353.86900   0.00050176794       1126.4209
0.000       361.91147   0.00068287719       1639.9097
0.000       369.95395   0.00058216890       1493.3523
0.000       377.99643   0.00051202402       1400.9534
0.000       386.03891   0.00046451554       1353.8288
0.000       394.08138   0.00039206970       1215.6017
0.000       402.12386   0.00042979207       1415.8205
0.000       410.16634   0.00043045729       1504.8055
0.000       418.20881   0.00044277048       1640.6973
0.000       426.25129   0.00030620610       1201.3823
0.000       434.29377   0.00025878983       1073.9109
0.000       442.33625   0.00013215805       579.45732
0.000       450.37872   0.00028124515       1301.6340
0.000       458.42120   0.00022861226       1115.7422
0.000       466.46368   0.00023416759       1204.0667
0.000       474.50615   0.00024213693       1310.5598
0.000       482.54863   0.00025001728       1423.1922
0.000       490.59111   0.00021202583       1268.2885
0.000       498.63359   0.00019403475       1218.6931
0.000       506.67606   0.00017857030       1176.7133
0.000       514.71854   0.00027070101       1870.1204
0.125     0.062831853       2448.7787     0.030772260
0.125      0.12566371       3908.4034      0.39291557
0.125      0.18849556       1638.9495      0.55608248
0.125      0.25132741       1329.2448       1.0690421
0.125      0.31415927       970.70487       1.5247796
0.125      0.37699112       738.19970       2.0037221
0.125      0.43982297       621.42266       2.6784964
0.125      0.50265482       560.34821       3.6052702
0.125      0.56548668       476.28754       4.3632150
0.125      0.62831853       451.30504       5.6712664
0.125      0.69115038       406.26832       6.7951786
0.125      0.75398224       364.63456       7.9179258
0.125      0.81681409       356.33594       9.8378353
0.125      0.87964594       334.59493       11.537543
0.125      0.94247780       311.43840       13.208570
0.125       1.0053096       296.07847       15.239708
0.125       1.0681415       280.14455       17.295726
0.125       1.1309734       247.82851       18.162626
0.125       1.1938052       245.57727       21.166976
0.125       1.2566371       221.61097       22.278764
0.125       1.3194689       220.68144       25.682279
0.125       1.3823008       212.61713       28.449600
0.125       1.4451326       199.43386       30.492446
0.125       1.5079645       187.09739       32.502092
0.125       1.5707963       181.56880       35.650951
0.125       1.6336282       173.81450       38.389805
0.125       1.6964600       162.83819       40.277028
0.125       1.7592919       153.91941       42.459743
0.125       1.8221237       147.77883       45.291435
0.125       1.8849556       144.11600       48.897407
0.125       1.9477874       136.21133       50.992720
0.125       2.0106193       133.97242       55.166471
0.125       2.0734512       126.69609       57.215659
0.125       2.1362830       121.74902       60.132890
0.125       2.1991149       112.87179       60.813416
0.125       2.2619467       109.74441       64.342771
0.125       2.3247786       105.66671       67.259434
0.125       2.3876104       104.05849       71.752688
0.125       2.4504423       98.843267       73.680197
0.125       2.5132741       96.169060       77.343747
0.125       2.5761060       90.340409       78.242638
0.125       2.6389378       87.863304       81.802253
0.125       2.7017697       84.116084       84.041593
0.125       2.7646015       81.707905       87.464531
0.125       2.8274334       79.038085       90.507342
0.125       2.8902652       76.357678       93.397676
0.125       2.9530971       74.131920       96.718308
0.125       3.0159289       71.354218       99.163815
0.125       3.0787608       69.706047       103.05488
0.125       3.1415927       66.311450       104.16178
0.125       3.2044245       65.765341       109.62698
0.125       3.2672564       62.722124       110.82574
0.125       3.3300882       60.883234       113.90301
0.125       3.3929201       59.362979       117.46455
0.125       3.4557519       57.029160       119.23257
0.125       3.5185838       54.937603       121.23937
0.125       3.5814156       53.923638       125.49130
0.125       3.6442475       51.948538       127.37001
0.125       3.7070793       50.668095       130.76770
0.125       3.7699112       49.251505       133.68514
0.125       3.8327430       48.124140       137.26580
0.125       3.8955749       46.356377       138.83355
0.125       3.9584067       45.370992       142.56397
0.125       4.0212386       43.676893       143.88036
0.125       4.1469023       41.311854       149.25069
0.125       4.2725660       40.019065       158.12609
0.125       4.3982297       37.754563       162.73217
0.125       4.5238934       35.529117       166.64480
0.125       4.6495571       33.470326       170.43743
0.125       4.7752208       31.858319       175.74116
0.125       4.9008845       31.181254       185.94618
0.125       5.0265482       29.741700       191.35755
0.125       5.1522120       28.299128       196.07602
0.125       5.2778757       26.811687       199.69715
0.125       5.4035394       25.972486       207.59588
0.125       5.5292031       24.527009       210.04023
0.125       5.6548668       24.023668       220.07804
0.125       5.7805305       23.189514       226.91593
0.125       5.9061942       22.034991       229.98860
0.125       6.0318579       21.097047       234.55529
0.125       6.1575216       20.403933       241.32482
0.125       6.2831853       19.458284       244.52000
0.125       6.4088490       18.793561       250.62215
0.125       6.5345127       18.089646       255.70544
0.125       6.6601764       17.703130       264.95830
0.125       6.7858401       16.763652       265.36874
0.125       6.9115038       16.135825       269.88521
0.125       7.0371675       15.614378       275.66944
0.125       7.1628313       15.192499       282.84833
