# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.375       458.42120    0.0014011679       6838.4004
0.375       466.46368    0.0012985016       6676.7674
0.375       474.50615    0.0012638125       6840.3521
0.375       482.54863    0.0011856503       6749.1664
0.375       490.59111    0.0011083380       6629.8163
0.375       498.63359    0.0010632815       6678.2563
0.375       506.67606    0.0010906382       7186.9087
0.375       514.71854    0.0010226351       7064.8084
0.500     0.062831853       1729.3110     0.021731163
0.500      0.12566371       2779.4980      0.27942561
0.500      0.18849556       1124.2415      0.38144617
0.500      0.25132741       875.41032      0.70404675
0.500      0.31415927       628.53056      0.98729350
0.500      0.37699112       475.24659       1.2899790
0.500      0.43982297       385.63090       1.6621714
0.500      0.50265482       334.03036       2.1491452
0.500      0.56548668       278.95508       2.5554752
0.500      0.62831853       254.99619       3.2043767
0.500      0.69115038       230.17099       3.8498029
0.500      0.75398224       206.72667       4.4890052
0.500      0.81681409       193.77045       5.3496760
0.500      0.87964594       179.20704       6.1794387
0.500      0.94247780       165.31136       7.0111031
0.500       1.0053096       152.32509       7.8404546
0.500       1.0681415       141.59916       8.7421308
0.500       1.1309734       125.38541       9.1891296
0.500       1.1938052       126.65008       10.916317
0.500       1.2566371       113.47019       11.407267
0.500       1.3194689       111.35587       12.959280
0.500       1.3823008       106.94586       14.310075
0.500       1.4451326       101.23563       15.478425
0.500       1.5079645       92.376932       16.047490
0.500       1.5707963       88.846530       17.444975
0.500       1.6336282       84.183345       18.593283
0.500       1.6964600       78.133193       19.325766
0.500       1.7592919       75.951156       20.951655
0.500       1.8221237       71.263765       21.841005
0.500       1.8849556       69.830392       23.692894
0.500       1.9477874       67.066818       25.107452
0.500       2.0106193       63.839717       26.287589
0.500       2.0734512       61.018959       27.556019
0.500       2.1362830       57.654933       28.476269
0.500       2.1991149       55.283276       29.785697
0.500       2.2619467       53.175777       31.176777
0.500       2.3247786       50.481793       32.132892
0.500       2.3876104       48.550568       33.477651
0.500       2.4504423       46.130599       34.386880
0.500       2.5132741       44.656981       35.915275
0.500       2.5761060       42.207788       36.555609
0.500       2.6389378       41.163210       38.323659
0.500       2.7017697       39.161058       39.126378
0.500       2.7646015       38.412492       41.118795
0.500       2.8274334       36.490737       41.785927
0.500       2.8902652       34.743135       42.496422
0.500       2.9530971       34.065950       44.445106
0.500       3.0159289       32.868862       45.679174
0.500       3.0787608       31.145969       46.046853
0.500       3.1415927       30.480116       47.878054
0.500       3.2044245       28.983998       48.314632
0.500       3.2672564       27.896195       49.290686
0.500       3.3300882       27.305107       51.083583
0.500       3.3929201       26.266488       51.974839
0.500       3.4557519       25.900875       54.151734
0.500       3.5185838       24.898449       54.947285
0.500       3.5814156       24.034343       55.932817
0.500       3.6442475       23.090819       56.615217
0.500       3.7070793       22.647723       58.450799
0.500       3.7699112       21.731284       58.986008
0.500       3.8327430       20.890724       59.587183
0.500       3.8955749       20.658355       61.870079
0.500       3.9584067       20.055033       63.016589
0.500       4.0212386       19.529519       64.334115
0.500       4.1469023       18.306876       66.138740
0.500       4.2725660       17.233878       68.095687
0.500       4.3982297       16.317469       70.332617
0.500       4.5238934       15.280712       71.672233
0.500       4.6495571       14.517098       73.923895
0.500       4.7752208       13.867755       76.499182
0.500       4.9008845       13.328381       79.482415
0.500       5.0265482       12.679695       81.580929
0.500       5.1522120       11.922641       82.608338
0.500       5.2778757       11.451854       85.294989
0.500       5.4035394       10.696720       85.497980
0.500       5.5292031       10.357016       88.693647
0.500       5.6548668       10.039242       91.968337
0.500       5.7805305       9.5279866       93.234036
0.500       5.9061942       9.2188735       96.221314
0.500       6.0318579       8.8103887       97.953201
0.500       6.1575216       8.4579411       100.03518
0.500       6.2831853       8.1145499       101.97044
0.500       6.4088490       7.8935223       105.26433
0.500       6.5345127       7.5221841       106.32952
0.500       6.6601764       7.1959758       107.70036
0.500       6.7858401       6.9155017       109.47245
0.500       6.9115038       6.7476107       112.85945
0.500       7.0371675       6.5449739       115.55051
0.500       7.1628313       6.2278400       115.94763
0.500       7.2884950       6.0172227       118.02661
0.500       7.4141587       5.8610943       121.01371
0.500       7.5398224       5.6767875       123.26967
0.500       7.6654861       5.3903023       122.99925
0.500       7.7911498       5.2463852       125.69995
0.500       7.9168135       5.0951756       128.07980
0.500       8.0424772       4.9184064       129.61766
0.500       8.2938046       4.5778590       132.31043
0.500       8.5451320       4.3851358       138.61481
0.500       8.7964594       4.1832233       144.24641
0.500       9.0477868       3.9924018       149.80682
0.500       9.2991143       3.6467025       148.55776
0.500       9.5504417       3.5509269       156.70482
0.500       9.8017691       3.3480591       159.72642
0.500       10.053096       3.1551683       162.40236
0.500       10.304424       3.0438973       168.72188
0.500       10.555751       2.8246614       168.30775
0.500       10.807079       2.6956915       172.37147
0.500       11.058406       2.5854888       177.12935
0.500       11.309734       2.4717753       181.14918
0.500       11.561061       2.3801902       186.32666
0.500       11.812388       2.2603553       188.73833
0.500       12.063716       2.1726832       193.24575
0.500       12.315043       2.0472230       193.70607
0.500       12.566371       2.0193977       203.01200
0.500       12.817698       1.9119564       203.97567
0.500       13.069025       1.8319558       207.16427
0.500       13.320353       1.7524470       209.82746
0.500       13.571680       1.6825872       213.08295
0.500       13.823008       1.6003285       214.13470
0.500       14.074335       1.5750783       222.46211
0.500       14.325663       1.5067055       224.41029
0.500       14.576990       1.4451655       226.77302
0.500       14.828317       1.3986671       231.02566
0.500       15.079645       1.3382508       232.47760
0.500       15.330972       1.2948098       236.36617
0.500       15.582300       1.2799582       245.33566
0.500       15.833627       1.2267810       246.70533
0.500       16.084954       1.1999896       252.99227
0.500       16.587609       1.1105097       256.76983
0.500       17.090264       1.0318953       260.94694
0.500       17.592919      0.97313539       268.44618
0.500       18.095574      0.92224608       276.84338
0.500       18.598229      0.86255846       281.10821
0.500       19.100883      0.82545184       291.42201
0.500       19.603538      0.78223666       298.54638
0.500       20.106193      0.73127313       301.11987
0.500       20.608848      0.70595793       313.04748
0.500       21.111503      0.67254173       320.58776
0.500       21.614157      0.63717069       325.94249
0.500       22.116812      0.60031554       329.01632
0.500       22.619467      0.57082987       334.67561
0.500       23.122122      0.54685714       342.47369
0.500       23.624777      0.53014996       354.13767
0.500       24.127432      0.50622784       360.20486
0.500       24.630086      0.47851289       362.21106
0.500       25.132741      0.46226351       371.77437
0.500       25.635396      0.43596915       372.08839
0.500       26.138051      0.42571692       385.13303
0.500       26.640706      0.40545637       388.37526
0.500       27.143361      0.39336388       398.52501
0.500       27.646015      0.38000231       406.77488
0.500       28.148670      0.36174326       408.73738
0.500       28.651325      0.34666658       413.06306
0.500       29.153980      0.33875014       425.24899
0.500       29.656635      0.32194365       425.41787
0.500       30.159289      0.31733318       441.01063
0.500       30.661944      0.30151968       440.33682
0.500       31.164599      0.28870705       442.70282
0.500       31.667254      0.27961548       449.84477
0.500       32.169909      0.27376304       461.73688
0.500       33.175218      0.25495581       471.60298
0.500       34.180528      0.23751362       480.50186
0.500       35.185838      0.22706246       501.09409
0.500       36.191147      0.21235755       509.97045
0.500       37.196457      0.20531731       535.30408
0.500       38.201767      0.19340843       546.25572
0.500       39.207076      0.18197932       555.62997
0.500       40.212386      0.17287085       569.47094
0.500       41.217696      0.15871039       563.02378
0.500       42.223005      0.15384866       586.69365
0.500       43.228315      0.14684100       600.92809
0.500       44.233625      0.14139285       619.94803
0.500       45.238934      0.13447879       630.75565
0.500       46.244244      0.12821917       642.38629
0.500       47.249554      0.12383420       661.76527
0.500       48.254863      0.11712064       666.69465
0.500       49.260173      0.11233180       680.23780
0.500       50.265482      0.10765621       692.65807
0.500       51.270792      0.10450664       713.54973
0.500       52.276102     0.099769655       722.06835
0.500       53.281411     0.095572870       732.37253
0.500       54.286721     0.092323800       748.28108
0.500       55.292031     0.089284766       764.60167
0.500       56.297340     0.084540884       764.18882
0.500       57.302650     0.082622602       787.57740
0.500       58.307960     0.079371736       797.11259
0.500       59.313269     0.076733618       811.16933
0.500       60.318579     0.074711438       830.63583
0.500       61.323889     0.072621273       848.44398
0.500       62.329198     0.069951367       858.10629
0.500       63.334508     0.067328072       866.53806
0.500       64.339818     0.065973420       890.18185
0.500       66.350437     0.060100322       889.36168
0.500       68.361056     0.059463169       962.37559
0.500       70.371675     0.055457856       979.09990
0.500       72.382295     0.051378741       987.07639
0.500       74.392914     0.049260883       1027.4653
0.500       76.403533     0.047139620       1065.1154
0.500       78.414153     0.044081079       1076.7276
0.500       80.424772     0.041532893       1094.5408
0.500       82.435391     0.039597627       1123.7780
0.500       84.446011     0.037722602       1150.8251
0.500       86.456630     0.036137172       1183.0942
0.500       88.467249     0.034205786       1199.8236
0.500       90.477868     0.033378619       1252.4653
0.500       92.488488     0.031178283       1249.6416
0.500       94.499107     0.031014083       1325.9047
0.500       96.509726     0.028975125       1319.4983
0.500       98.520346     0.028030184       1357.9194
0.500       100.53096     0.027147970       1397.3563
0.500       102.54158     0.025882071       1413.7394
0.500       104.55220     0.024859521       1439.3373
0.500       106.56282     0.024075726       1475.9335
0.500       108.57344     0.023567188       1528.0897
0.500       110.58406     0.022759007       1559.1977
0.500       112.59468     0.021763001       1573.7750
0.500       114.60530     0.021221993       1618.3428
0.500       116.61592     0.020079959       1613.2683
0.500       118.62654     0.019697534       1665.8186
0.500       120.63716     0.019109899       1699.6987
0.500       122.64778     0.018630246       1741.2771
0.500       124.65840     0.017798192       1746.6696
0.500       126.66902     0.017467622       1798.5198
0.500       128.67964     0.016883658       1822.4946
0.500       132.70087     0.015915663       1884.1537
0.500       136.72211     0.014823658       1919.2958
0.500       140.74335     0.014144386       1997.7357
0.500       144.76459     0.013560660       2084.1938
0.500       148.78583     0.013122038       2189.5570
0.500       152.80707     0.011820903       2136.7378
0.500       156.82831     0.011618337       2270.3225
0.500       160.84954     0.010914535       2301.0973
0.500       164.87078     0.010763378       2443.7117
0.500       168.89202    0.0098527889       2404.6775
0.500       172.91326    0.0094339940       2470.8748
0.500       176.93450    0.0091278068       2561.3814
0.500       180.95574    0.0087135290       2615.6607
0.500       184.97698    0.0084272842       2702.1591
0.500       188.99821    0.0079694323       2725.6541
0.500       193.01945    0.0077462128       2822.0384
0.500       197.04069    0.0073799910       2860.1832
0.500       201.06193    0.0071106892       2928.0028
0.500       205.08317    0.0066982559       2926.9955
0.500       209.10441    0.0064617462       2993.0206
0.500       213.12565    0.0062848271       3082.2703
0.500       217.14688    0.0061696580       3200.3108
0.500       221.16812    0.0058171271       3188.2062
0.500       225.18936    0.0055678094       3221.0556
0.500       229.21060    0.0053902114       3288.3660
0.500       233.23184    0.0052812179       3394.4378
0.500       237.25308    0.0051272064       3468.8588
0.500       241.27432    0.0048134892       3425.0233
0.500       245.29555    0.0047948443       3585.2034
0.500       249.31679    0.0045239318       3551.7379
0.500       253.33803    0.0043092465       3549.5457
0.500       257.35927    0.0042172686       3641.8409
0.500       265.40175    0.0039844836       3773.5806
0.500       273.44422    0.0036056601       3734.7480
0.500       281.48670    0.0033880736       3828.2187
0.500       289.52918    0.0032448714       3989.7416
0.500       297.57166    0.0029253282       3904.9865
0.500       305.61413    0.0028495779       4120.7009
0.500       313.65661    0.0027640807       4321.0004
0.500       321.69909    0.0026148739       4410.3240
0.500       329.74156    0.0024889859       4520.7842
0.500       337.78404    0.0023495377       4587.4365
0.500       345.82652    0.0022413638       4696.3180
0.500       353.86900    0.0020935593       4699.8400
0.500       361.91147    0.0019842166       4765.0383
0.500       369.95395    0.0019780214       5073.9276
0.500       377.99643    0.0018366948       5025.3965
0.500       386.03891    0.0016637934       4849.1194
0.500       394.08138    0.0015743860       4881.3421
0.500       402.12386    0.0015864214       5225.9874
0.500       410.16634    0.0014364999       5021.7595
0.500       418.20881    0.0014571851       5399.6366
0.500       426.25129    0.0012991926       5097.3085
0.500       434.29377    0.0012238458       5078.6440
0.500       442.33625    0.0011836829       5189.9506
0.500       450.37872    0.0011666552       5399.4110
0.500       458.42120    0.0011087078       5411.0489
0.500       466.46368    0.0010580424       5440.3498
0.500       474.50615    0.0010160256       5499.2118
0.500       482.54863    0.0010023861       5705.9579
0.500       490.59111   0.00086706251       5186.5633
0.500       498.63359   0.00088402519       5552.3839
0.500       506.67606   0.00088263641       5816.2526
0.500       514.71854   0.00080236470       5543.0846
0.750     0.062831853       1380.8207     0.017351905
0.750      0.12566371       2225.8035      0.22376217
0.750      0.18849556       886.04057      0.30062648
0.750      0.25132741       675.82273      0.54352889
0.750      0.31415927       478.22324      0.75119130
0.750      0.37699112       360.74886      0.97919364
0.750      0.43982297       286.26750       1.2338888
0.750      0.50265482       241.42616       1.5533315
0.750      0.56548668       200.32027       1.8351108
0.750      0.62831853       181.41290       2.2797017
0.750      0.69115038       165.18175       2.7628034
0.750      0.75398224       144.84774       3.1453235
0.750      0.81681409       133.24212       3.6785905
0.750      0.87964594       120.89945       4.1688694
0.750      0.94247780       111.75123       4.7395372
0.750       1.0053096       102.59494       5.2807519
0.750       1.0681415       94.261564       5.8195750
0.750       1.1309734       84.947815       6.2255767
0.750       1.1938052       84.291533       7.2653179
0.750       1.2566371       76.891158       7.7299423
0.750       1.3194689       74.572463       8.6785313
0.750       1.3823008       69.320554       9.2755555
0.750       1.4451326       65.691704       10.043935
0.750       1.5079645       60.865873       10.573468
0.750       1.5707963       57.544715       11.298878
0.750       1.6336282       54.902438       12.126111
0.750       1.6964600       51.593288       12.761284
0.750       1.7592919       50.438719       13.913872
0.750       1.8221237       47.764144       14.638813
0.750       1.8849556       46.126620       15.650393
0.750       1.9477874       44.860759       16.794287
0.750       2.0106193       42.771975       17.612423
0.750       2.0734512       39.556303       17.863534
0.750       2.1362830       38.243617       18.888853
0.750       2.1991149       37.983982       20.465129
0.750       2.2619467       35.405195       20.757945
0.750       2.3247786       34.853416       22.185049
0.750       2.3876104       32.861922       22.659672
0.750       2.4504423       31.858992       23.748475
0.750       2.5132741       31.373124       25.231763
0.750       2.5761060       30.099211       26.068531
0.750       2.6389378       29.263006       27.244364
0.750       2.7017697       27.241790       27.217665
0.750       2.7646015       26.100254       27.939114
0.750       2.8274334       25.492099       29.191271
0.750       2.8902652       24.575630       30.059934
0.750       2.9530971       23.747935       30.983415
0.750       3.0159289       22.572372       31.369730
0.750       3.0787608       22.022975       32.559227
0.750       3.1415927       21.245705       33.372676
0.750       3.2044245       20.286633       33.816633
0.750       3.2672564       19.621196       34.669324
0.750       3.3300882       19.255072       36.023228
0.750       3.3929201       18.501705       36.610267
0.750       3.4557519       17.874091       37.369898
0.750       3.5185838       17.235464       38.036184
0.750       3.5814156       16.851050       39.215829
0.750       3.6442475       16.130884       39.550502
0.750       3.7070793       15.608374       40.283163
0.750       3.7699112       15.255617       41.408872
0.750       3.8327430       14.750551       42.073401
0.750       3.8955749       14.382547       43.074549
0.750       3.9584067       14.016984       44.043932
0.750       4.0212386       13.649209       44.963206
0.750       4.1469023       12.645420       45.685138
0.750       4.2725660       11.973722       47.311397
0.750       4.3982297       11.654181       50.232612
0.750       4.5238934       10.901110       51.130268
0.750       4.6495571       10.348255       52.695332
0.750       4.7752208       9.8236567       54.190582
0.750       4.9008845       9.3363362       55.676273
0.750       5.0265482       8.8926860       57.215380
0.750       5.1522120       8.4409911       58.485050
0.750       5.2778757       8.1116455       60.416656
0.750       5.4035394       7.8061465       62.393869
0.750       5.5292031       7.5477366       64.636021
0.750       5.6548668       7.0541295       64.622064
0.750       5.7805305       6.7330770       65.885057
0.750       5.9061942       6.4441047       67.259868
0.750       6.0318579       6.3190243       70.254410
0.750       6.1575216       5.9615446       70.509378
0.750       6.2831853       5.9082843       74.245690
0.750       6.4088490       5.5960205       74.625917
0.750       6.5345127       5.3640444       75.823223
0.750       6.6601764       5.2336711       78.331038
0.750       6.7858401       5.0013171       79.170888
0.750       6.9115038       4.8340784       80.854018
0.750       7.0371675       4.6031106       81.267208
0.750       7.1628313       4.5518646       84.744935
0.750       7.2884950       4.3575386       85.472238
0.750       7.4141587       4.1996368       86.709688
0.750       7.5398224       4.1035526       89.107367
0.750       7.6654861       3.9067603       89.146874
0.750       7.7911498       3.8227922       91.591594
0.750       7.9168135       3.7109255       93.283265
0.750       8.0424772       3.5734643       94.173609
0.750       8.2938046       3.3502161       96.828783
0.750       8.5451320       3.1699444       100.20243
0.750       8.7964594       3.0174077       104.04662
0.750       9.0477868       2.8278446       106.10916
0.750       9.2991143       2.6629467       108.48195
0.750       9.5504417       2.5294596       111.62678
0.750       9.8017691       2.4022519       114.60464
0.750       10.053096       2.2861429       117.67201
0.750       10.304424       2.1236767       117.71446
0.750       10.555751       2.0325592       121.11025
0.750       10.807079       1.9686505       125.88206
0.750       11.058406       1.8498943       126.73448
0.750       11.309734       1.8057287       132.33657
0.750       11.561061       1.7127396       134.07712
0.750       11.812388       1.6249808       135.68494
0.750       12.063716       1.5506974       137.92424
0.750       12.315043       1.4756488       139.62432
0.750       12.566371       1.4231063       143.06625
0.750       12.817698       1.3838341       147.63332
0.750       13.069025       1.3202083       149.29399
0.750       13.320353       1.2670311       151.70668
0.750       13.571680       1.2180000       154.24759
0.750       13.823008       1.1736724       157.04525
0.750       14.074335       1.1326449       159.97337
0.750       14.325663       1.0859780       161.74670
0.750       14.576990       1.0401990       163.22635
0.750       14.828317       1.0102493       166.86853
0.750       15.079645      0.98336364       170.82748
0.750       15.330972      0.95160931       173.71528
0.750       15.582300      0.92724864       177.73015
0.750       15.833627      0.88772830       178.52192
0.750       16.084954      0.85885588       181.07148
0.750       16.587609      0.82498813       190.75211
0.750       17.090264      0.73746813       186.49184
0.750       17.592919      0.70892648       195.56231
0.750       18.095574      0.65903560       197.83184
0.750       18.598229      0.63468743       206.84494
0.750       19.100883      0.60224930       212.62137
0.750       19.603538      0.56588717       215.97501
0.750       20.106193      0.54314958       223.65533
0.750       20.608848      0.51377842       227.82808
0.750       21.111503      0.48117539       229.36709
0.750       21.614157      0.46190914       236.28804
0.750       22.116812      0.43755983       239.81442
0.750       22.619467      0.42081056       246.71980
0.750       23.122122      0.40342983       252.65118
0.750       23.624777      0.38494184       257.13933
0.750       24.127432      0.36771030       261.64313
0.750       24.630086      0.35187067       266.34904
0.750       25.132741      0.33916608       272.77355
0.750       25.635396      0.32747710       279.49323
0.750       26.138051      0.30858559       279.16791
0.750       26.640706      0.30331192       290.53397
0.750       27.143361      0.28678265       290.54538
0.750       27.646015      0.27849852       298.11977
0.750       28.148670      0.26522469       299.68007
0.750       28.651325      0.25402794       302.68150
0.750       29.153980      0.24824720       311.63639
0.750       29.656635      0.23971905       316.76588
0.750       30.159289      0.23023616       319.96841
0.750       30.661944      0.22262367       325.11773
0.750       31.164599      0.21613428       331.41988
0.750       31.667254      0.21118122       339.74790
0.750       32.169909      0.20431237       344.59931
0.750       33.175218      0.18849602       348.66938
0.750       34.180528      0.17771411       359.52449
0.750       35.185838      0.16938556       373.80950
0.750       36.191147      0.15592638       374.45266
0.750       37.196457      0.14779151       385.32258
0.750       38.201767      0.14273083       403.12376
0.750       39.207076      0.13355085       407.76533
0.750       40.212386      0.13004437       428.39200
0.750       41.217696      0.12166068       431.59024
0.750       42.223005      0.11599911       442.35643
0.750       43.228315      0.10997960       450.07753
0.750       44.233625      0.10455649       458.43613
0.750       45.238934      0.10120190       474.67465
0.750       46.244244     0.095694989       479.43806
0.750       47.249554     0.092217106       492.80474
0.750       48.254863     0.086804722       494.12505
0.750       49.260173     0.085396423       517.12762
0.750       50.265482     0.080752489       519.56004
0.750       51.270792     0.077024710       525.90877
0.750       52.276102     0.074331307       537.96202
0.750       53.281411     0.072424080       554.98393
0.750       54.286721     0.070358449       570.25270
0.750       55.292031     0.067422664       577.38273
0.750       56.297340     0.064108828       579.49772
0.750       57.302650     0.062975031       600.29230
0.750       58.307960     0.060743298       610.03136
0.750       59.313269     0.057706611       610.03032
0.750       60.318579     0.056563311       628.86639
0.750       61.323889     0.055135761       644.15842
0.750       62.329198     0.052638442       645.72546
0.750       63.334508     0.051505102       662.89037
0.750       64.339818     0.049542578       668.47987
0.750       66.350437     0.046813013       692.73672
0.750       68.361056     0.043328423       701.24445
0.750       70.371675     0.041050964       724.74845
0.750       72.382295     0.040536753       778.78264
0.750       74.392914     0.037350566       779.04430
0.750       76.403533     0.035023074       791.34316
0.750       78.414153     0.034187249       835.06018
0.750       80.424772     0.032061050       844.92374
0.750       82.435391     0.030404346       862.87331
0.750       84.446011     0.029045835       886.11796
0.750       86.456630     0.027824845       910.95709
0.750       88.467249     0.026221615       919.76581
0.750       90.477868     0.025186605       945.07651
0.750       92.488488     0.024575055       984.98086
0.750       94.499107     0.023355505       998.48749
0.750       96.509726     0.022424703       1021.1986
0.750       98.520346     0.021277510       1030.7868
0.750       100.53096     0.020697297       1065.3282
0.750       102.54158     0.020222146       1104.5810
0.750       104.55220     0.019370005       1121.5007
0.750       106.56282     0.018662524       1144.0837
0.750       108.57344     0.017955199       1164.2100
0.750       110.58406     0.017315635       1186.2775
0.750       112.59468     0.016559978       1197.5224
0.750       114.60530     0.015901024       1212.5774
0.750       116.61592     0.015475630       1243.3463
0.750       118.62654     0.015180829       1283.8412
0.750       120.63716     0.014626459       1300.9264
0.750       122.64778     0.014064524       1314.5416
0.750       124.65840     0.013654615       1340.0294
0.750       126.66902     0.013271451       1366.4692
0.750       128.67964     0.012963314       1399.3159
0.750       132.70087     0.012222213       1446.9097
0.750       136.72211     0.011254310       1457.1538
0.750       140.74335     0.010845569       1531.8149
0.750       144.76459     0.010126555       1556.3921
0.750       148.78583    0.0096714614       1613.7901
0.750       152.80707    0.0090512082       1636.0898
0.750       156.82831    0.0085583574       1672.3764
0.750       160.84954    0.0083641542       1763.4039
0.750       164.87078    0.0078378819       1779.5085
0.750       168.89202    0.0073412395       1791.7072
0.750       172.91326    0.0072787168       1906.3822
0.750       176.93450    0.0069401184       1947.4876
0.750       180.95574    0.0065871269       1977.3491
0.750       184.97698    0.0061967499       1986.9514
0.750       188.99821    0.0060736367       2077.2663
0.750       193.01945    0.0056242193       2048.9707
0.750       197.04069    0.0054023280       2093.7218
0.750       201.06193    0.0053934857       2220.9017
0.750       205.08317    0.0052236856       2282.6396
0.750       209.10441    0.0048002398       2223.4263
0.750       213.12565    0.0046539916       2282.4590
0.750       217.14688    0.0046038606       2388.1040
0.750       221.16812    0.0044965244       2464.4205
0.750       225.18936    0.0042542507       2461.1436
0.750       229.21060    0.0040757781       2486.4795
0.750       233.23184    0.0038709518       2488.0066
0.750       237.25308    0.0037961369       2568.3114
0.750       241.27432    0.0036731118       2613.5914
0.750       245.29555    0.0034430245       2574.4200
0.750       249.31679    0.0033916789       2662.8064
0.750       253.33803    0.0032189633       2651.4745
0.750       257.35927    0.0031186632       2693.1353
0.750       265.40175    0.0028939081       2740.7304
0.750       273.44422    0.0028819707       2985.1494
0.750       281.48670    0.0024908049       2814.3857
0.750       289.52918    0.0024776659       3046.4216
0.750       297.57166    0.0021346999       2849.5860
0.750       305.61413    0.0020580324       2976.0675
0.750       313.65661    0.0020298974       3173.2748
0.750       321.69909    0.0018999773       3204.5582
0.750       329.74156    0.0017080013       3102.2696
0.750       337.78404    0.0016516372       3224.7963
0.750       345.82652    0.0014809773       3103.0842
0.750       353.86900    0.0014886663       3341.9131
0.750       361.91147    0.0015615075       3749.9146
0.750       369.95395    0.0013353115       3425.2781
0.750       377.99643    0.0011710596       3204.1464
0.750       386.03891    0.0012690453       3698.6278
0.750       394.08138    0.0010846837       3363.0330
0.750       402.12386    0.0010422416       3433.3509
0.750       410.16634    0.0010245557       3581.6726
0.750       418.20881   0.00098553095       3651.9101
0.750       426.25129   0.00087213700       3421.7801
0.750       434.29377   0.00088731114       3682.1119
0.750       442.33625   0.00078770044       3453.7343
0.750       450.37872   0.00072144352       3338.9213
0.750       458.42120   0.00082374349       4020.2803
0.750       466.46368   0.00068078869       3500.5484
0.750       474.50615   0.00067706433       3664.5930
0.750       482.54863   0.00063510283       3615.2436
0.750       490.59111   0.00059319908       3548.3769
0.750       498.63359   0.00059842673       3758.5975
0.750       506.67606   0.00057722918       3803.7301
0.750       514.71854   0.00047607127       3288.9076
1.000     0.062831853       1115.9719     0.014023716
1.000      0.12566371       1801.1833      0.18107469
1.000      0.18849556       709.00109      0.24055840
1.000      0.25132741       531.11671      0.42714940
1.000      0.31415927       369.84827      0.58095630
1.000      0.37699112       278.17289      0.75505469
1.000      0.43982297       216.71911      0.93411683
1.000      0.50265482       178.93882       1.1512891
1.000      0.56548668       147.58736       1.3520307
1.000      0.62831853       133.45725       1.6770733
1.000      0.69115038       121.71915       2.0358549
1.000      0.75398224       103.62559       2.2501974
1.000      0.81681409       95.269211       2.6302225
1.000      0.87964594       84.968914       2.9299084
1.000      0.94247780       78.750494       3.3399266
1.000       1.0053096       72.079575       3.7100694
1.000       1.0681415       65.761032       4.0599927
1.000       1.1309734       59.849150       4.3861691
1.000       1.1938052       58.697405       5.0592899
1.000       1.2566371       54.055074       5.4342087
1.000       1.3194689       52.449497       6.1039234
1.000       1.3823008       47.899336       6.4092528
1.000       1.4451326       45.051219       6.8881076
1.000       1.5079645       43.332848       7.5276744
1.000       1.5707963       40.381874       7.9289624
1.000       1.6336282       39.042035       8.6230789
1.000       1.6964600       36.979992       9.1467744
1.000       1.7592919       35.705233       9.8495373
1.000       1.8221237       33.958143       10.407533
1.000       1.8849556       32.734396       11.106519
1.000       1.9477874       31.862788       11.928304
1.000       2.0106193       30.415252       12.524235
1.000       2.0734512       28.426663       12.837414
1.000       2.1362830       28.091837       13.874801
1.000       2.1991149       27.265746       14.690324
1.000       2.2619467       25.658805       15.043670
1.000       2.3247786       25.159495       16.014632
1.000       2.3876104       23.616954       16.284879
1.000       2.4504423       23.199492       17.293471
1.000       2.5132741       22.111351       17.783003
1.000       2.5761060       21.495925       18.617337
1.000       2.6389378       20.297625       18.897439
1.000       2.7017697       19.292496       19.275411
1.000       2.7646015       18.838640       20.165892
1.000       2.8274334       18.281072       20.933848
1.000       2.8902652       17.466150       21.363900
1.000       2.9530971       17.104233       22.315521
1.000       3.0159289       16.436349       22.842253
1.000       3.0787608       16.020067       23.684403
1.000       3.1415927       15.501487       24.349679
1.000       3.2044245       15.027120       25.049332
1.000       3.2672564       14.812305       26.172340
1.000       3.3300882       14.044624       26.275294
1.000       3.3929201       13.677700       27.064762
1.000       3.4557519       13.258715       27.720392
1.000       3.5185838       12.731858       28.097374
1.000       3.5814156       12.499635       29.089198
1.000       3.6442475       12.109580       29.690871
1.000       3.7070793       11.725331       30.261540
1.000       3.7699112       11.503117       31.223326
1.000       3.8327430       11.078872       31.600569
1.000       3.8955749       10.841679       32.469939
1.000       3.9584067       10.545448       33.135729
1.000       4.0212386       10.255563       33.783863
1.000       4.1469023       9.5563452       34.524985
1.000       4.2725660       9.2166781       36.417575
1.000       4.3982297       8.6551436       37.305964
1.000       4.5238934       8.3409822       39.122315
1.000       4.6495571       7.7960741       39.699129
1.000       4.7752208       7.3236581       40.399752
1.000       4.9008845       6.9509990       41.451562
1.000       5.0265482       6.7391219       43.359387
1.000       5.1522120       6.4583054       44.747626
1.000       5.2778757       6.1381322       45.717656
1.000       5.4035394       5.8659601       46.886123
1.000       5.5292031       5.6047006       47.996581
1.000       5.6548668       5.3939701       49.413535
1.000       5.7805305       5.1576627       50.469184
1.000       5.9061942       4.9669646       51.842328
1.000       6.0318579       4.7921734       53.279003
1.000       6.1575216       4.6460827       54.950927
1.000       6.2831853       4.4209731       55.555587
1.000       6.4088490       4.2219796       56.302348
1.000       6.5345127       4.0677165       57.499035
1.000       6.6601764       3.9530173       59.163815
1.000       6.7858401       3.7770047       59.790014
1.000       6.9115038       3.6395064       60.873799
1.000       7.0371675       3.4697435       61.257787
1.000       7.1628313       3.4193299       63.659821
1.000       7.2884950       3.2796756       64.330173
