1.000000000000000000e+03 1.268062322738139846e-04
5.000000000000000000e+03 1.128036460730254431e+00
6.000000000000000000e+03 2.802440703511527076e+00
7.000000000000000000e+03 4.607618052105972417e+00
8.000000000000000000e+03 6.455020019378095775e+00
9.000000000000000000e+03 8.447728456376303541e+00
1.000000000000000000e+04 1.064212949132499375e+01
1.100000000000000000e+04 1.306005080487778969e+01
1.200000000000000000e+04 1.574757534820308180e+01
1.300000000000000000e+04 1.873174173726288672e+01
1.400000000000000000e+04 2.202510296473364448e+01
1.500000000000000000e+04 2.564866170274112633e+01
1.600000000000000000e+04 2.956854443158005452e+01
1.700000000000000000e+04 3.375102885076344705e+01
1.800000000000000000e+04 3.812929973459498001e+01
1.900000000000000000e+04 4.258437607305280181e+01
2.000000000000000000e+04 4.700973447915590242e+01
2.100000000000000000e+04 5.126893767883804998e+01
2.200000000000000000e+04 5.524648034498861904e+01
2.300000000000000000e+04 5.886465574678113910e+01
2.400000000000000000e+04 6.205766633770954854e+01
2.500000000000000000e+04 6.480824728648693167e+01
2.600000000000000000e+04 6.712898383939658231e+01
2.700000000000000000e+04 6.904856344437274629e+01
2.800000000000000000e+04 7.060572712737554468e+01
2.900000000000000000e+04 7.185212956804157614e+01
3.000000000000000000e+04 7.283326760253868315e+01
3.100000000000000000e+04 7.359952836549744859e+01
3.200000000000000000e+04 7.418985486197993851e+01
3.300000000000000000e+04 7.464026851335523816e+01
3.400000000000000000e+04 7.498169448665301218e+01
3.500000000000000000e+04 7.523798778887592675e+01
3.600000000000000000e+04 7.542913690949457362e+01
3.700000000000000000e+04 7.557090813901817228e+01
3.800000000000000000e+04 7.567504909597001017e+01
3.900000000000000000e+04 7.575121407028883880e+01
4.000000000000000000e+04 7.580663018445677892e+01
4.100000000000000000e+04 7.584666973193910167e+01
4.200000000000000000e+04 7.587549574000036046e+01
4.300000000000000000e+04 7.589611126102231253e+01
4.400000000000000000e+04 7.591077861554182959e+01
4.500000000000000000e+04 7.592118498599134568e+01
